palavra_pt,sugestao_br
tu,voce
autocarro,ônibus
comboio,trem
por,colocar
telemóvel,telefone celular
cartão de cidadão,carteira de identidade
curgete,abobrinha
camião,caminhão
carrinha,caminhonete
cisterna,carro pipa
telemóvel,celular
pequeno almoço,café da manhã
sumo,suco
fotocópia,xerox
ginásio,academia
estação rodoviária,rodoviária
frigorífico,geladeira
sandes,sanduíche
candeeiro,abajur
peão,pedestre
cafetaria,lanchonete
casa de banho,banheiro
fervedor,leiteira
mandioca,macaxeira
sanita,vaso sanitário
carta de condução,habilitação
camisola,suéter
pipocas,pipoca
beringela,berinjela
empregado de bomba,frentista
eléctrico,bonde
quarteirão,quadra
talho,açougue
mercearia,quitanda
passeio,calçada
bicha,fila
rebuçado,bala
calções,short
pneu suplente,estepe
travão,freio
paragem,ponto de ônibus
centro comercial,shopping
gelataria,sorveteria
grelhador,churrasqueira
liquidificadora,liquidificador
ferro de engomar,ferro de passar
máquina de secar,secadora
ventoinha,ventilador
lava-louças,pia
esfregona,pano de chão
lixívia,água sanitária
chávena,xícara
tábua de cortar,tábua de corte
almofada,travesseiro
cómoda,cômoda
cave,porão
mesa de ténis de mesa,mesa de ping-pong
ténis,tênis
chuteiras,chuteira
câmara,câmera
câmara de filmar,filmadora
disco externo,HD externo
rato,mouse
portátil,notebook
auricular,fone
aplicação,aplicativo
ficheiro,arquivo
palavra-passe,senha
levantamento,saque
multibanco,caixa eletrônico
factura,nota fiscal
disciplina,matéria
teste,prova
pauta,boletim
exame de acesso,vestibular
reforma,aposentadoria
despedimento,demissão
currículo,currículo
formação,treinamento
objectivo,objetivo
correcção,correção
baptizado,batizado
bebé,bebê
medicamento,remédio
ecografia,ultrassom
constipação,resfriado
assassínio,assassinato
felicitar,parabenizar
