palavra_br,sugestao_pt
voce,tu
ônibus,autocarro
trem,comboio
colocar,por
telefone celular,telemóvel
carteira de identidade,cartão de cidadão
abobrinha,curgete
caminhão,camião
caminhonete,carrinha
carro pipa,cisterna
celular,telemóvel
café da manhã,pequeno almoço
suco,sumo
xerox,fotocópia
academia,ginásio
rodoviária,estação rodoviária
geladeira,frigorífico
sanduíche,sandes
abajur,candeeiro
pedestre,peão
lanchonete,cafetaria
banheiro,casa de banho
leiteira,fervedor
macaxeira,mandioca
vaso sanitário,sanita
habilitação,carta de condução
suéter,camisola
pipoca,pipocas
berinjela,beringela
frentista,empregado de bomba
bonde,eléctrico
quadra,quarteirão
açougue,talho
quitanda,mercearia
calçada,passeio
fila,bicha
bala,rebuçado
short,calções
estepe,pneu suplente
freio,travão
ponto de ônibus,paragem
shopping,centro comercial
sorveteria,gelataria
churrasqueira,grelhador
liquidificador,liquidificadora
ferro de passar,ferro de engomar
secadora,máquina de secar
ventilador,ventoinha
pia,lava-louças
pano de chão,esfregona
água sanitária,lixívia
xícara,chávena
tábua de corte,tábua de cortar
travesseiro,almofada
cômoda,cómoda
porão,cave
mesa de ping-pong,mesa de ténis de mesa
tênis,ténis
chuteira,chuteiras
câmera,câmara
filmadora,câmara de filmar
HD externo,disco externo
mouse,rato
notebook,portátil
fone,auricular
aplicativo,aplicação
arquivo,ficheiro
senha,palavra-passe
saque,levantamento
caixa eletrônico,multibanco
nota fiscal,factura
matéria,disciplina
prova,teste
boletim,pauta
vestibular,exame de acesso
aposentadoria,reforma
demissão,despedimento
currículo,currículo
treinamento,formação
objetivo,objectivo
correção,correcção
batizado,baptizado
bebê,bebé
remédio,medicamento
ultrassom,ecografia
resfriado,constipação
assassinato,assassínio
parabenizar,felicitar
