palavra_br,sugestao_pt
voce,tu
onibus,autocarro
trem,comboio
colocar,por
telefone celular,telemovel
carteira de identidade,cartao de cidadao
abobrinha,curgete
caminhao,camiao
caminhonete,carrinha
carro pipa,cisterna
celular,telemovel
cafe da manha,pequeno almoco
suco,sumo
xerox,fotocopia
academia,ginasio
rodoviaria,estacao rodoviaria
geladeira,frigorifico
sanduiche,sandes
abajur,candeeiro
pedestre,peao
lanchonete,cafetaria
banheiro,casa de banho
leiteira,fervedor
macaxeira,mandioca
vaso sanitario,sanita
habilitacao,carta de conducao
sueter,camisola
pipoca,pipocas
berinjela,beringela
frentista,empregado de bomba
bonde,eletrico
quadra,quarteirao
acougue,talho
quitanda,mercearia
calcada,passeio
fila,bicha
bala,rebucado
short,calcoes
estepe,pneu suplente
freio,travao
